District Name	District Code	Subject	M+E #	M+E %	E #	E %	M #	M %	PM #	PM %	NM #	NM %	No. of Students Included	Avg. Scaled Score	SGP	Included In SGP
Ashland	00140000	MATH	         785	64	         210	17	         575	47	         369	30	          74	6	       1,228	     507.9	          63.1	         990
Ashland	00140000	SCI	         241	61	          57	14	         184	46	         129	32	          27	7	         397	     506.2		
Athol-Royalston	06150000	ELA	         253	37	          26	4	         227	33	         327	48	         105	15	         685	     492.7	          47.7	         517
Athol-Royalston	06150000	MATH	         247	36	          26	4	         221	32	         321	47	         116	17	         684	     491.7	          52.1	         517
Athol-Royalston	06150000	SCI	          78	37	           5	2	          73	35	         106	50	          27	13	         211	     493.0		
Atlantis Charter (District)	04910000	ELA	         284	43	          50	8	         234	36	         306	47	          67	10	         657	     497.8	          46.0	         536
Atlantis Charter (District)	04910000	MATH	         241	37	          31	5	         210	32	         351	54	          64	10	         656	     494.1	          37.6	         535
Atlantis Charter (District)	04910000	SCI	          71	33	           3	1	          68	31	         112	51	          35	16	         218	     489.9		
Attleboro	00160000	ELA	       1,429	53	         249	9	       1,180	44	       1,013	37	         263	10	       2,705	     501.5	          49.3	       2,081
Attleboro	00160000	MATH	       1,337	49	         174	6	       1,163	43	       1,074	40	         295	11	       2,706	     498.9	          52.1	       2,079
Attleboro	00160000	SCI	         433	50	          58	7	         375	43	         358	41	          83	9	         874	     499.6		
Auburn	00170000	ELA	         787	63	         140	11	         647	52	         383	31	          72	6	       1,242	     506.3	          52.4	         989
Auburn	00170000	MATH	         696	56	         112	9	         584	47	         464	37	          83	7	       1,243	     502.5	          51.5	         989
Auburn	00170000	SCI	         251	58	          63	15	         188	44	         161	37	          18	4	         430	     505.7		
Avon	00180000	ELA	         185	52	          23	6	         162	45	         141	39	          33	9	         359	     500.8	          46.3	         282
Avon	00180000	MATH	         168	47	          17	5	         151	42	         156	44	          33	9	         357	     497.6	          54.4	         281
Avon	00180000	SCI	          60	51	           9	8	          51	43	          48	41	          10	8	         118	     499.6		
Ayer Shirley School District	06160000	ELA	         421	50	          59	7	         362	43	         349	41	          71	8	         841	     500.1	          49.3	         672
Ayer Shirley School District	06160000	MATH	         396	47	          54	6	         342	41	         380	45	          64	8	         840	     498.9	          55.2	         667
Ayer Shirley School District	06160000	SCI	         160	57	          27	10	         133	47	          99	35	          22	8	         281	     503.1		
Barnstable	00200000	ELA	       1,099	49	         147	7	         952	42	         868	39	         277	12	       2,244	     498.9	          48.2	       1,768
Barnstable	00200000	MATH	         993	44	         129	6	         864	38	         977	43	         286	13	       2,256	     496.5	          43.5	       1,778
Barnstable	00200000	SCI	         313	41	          52	7	         261	34	         341	45	         104	14	         758	     496.0		
Barnstable Community Horace Mann Charter Public (District)	04270000	ELA	          30	44	           1	1	          29	43	          34	50	           4	6	          68	     497.0		
Barnstable Community Horace Mann Charter Public (District)	04270000	MATH	          27	40	           1	1	          26	38	          35	51	           6	9	          68	     493.6		
Baystate Academy Charter Public School (District)	35020000	ELA	          56	23	           3	1	          53	22	         130	53	          57	23	         243	     485.4	          39.9	         233
Baystate Academy Charter Public School (District)	35020000	MATH	          57	23	           5	2	          52	21	         144	59	          42	17	         243	     487.5	          45.4	         232
Baystate Academy Charter Public School (District)	35020000	SCI	          18	23	           1	1	          17	21	          41	51	          21	26	          80	     484.3		
Bedford	00230000	ELA	         868	73	         251	21	         617	52	         267	22	          52	4	       1,187	     512.9	          53.1	         950
Bedford	00230000	MATH	         856	72	         253	21	         603	51	         274	23	          57	5	       1,187	     512.4	          54.3	         949
Bedford	00230000	SCI	         263	67	          65	16	         198	50	         116	29	          15	4	         394	     508.6		
Belchertown	00240000	ELA	         436	41	          41	4	         395	37	         537	50	         100	9	       1,073	     496.0	          42.9	         874
Belchertown	00240000	MATH	         422	39	          49	5	         373	35	         534	50	         116	11	       1,072	     494.9	          47.7	         875
Belchertown	00240000	SCI	         154	42	          19	5	         135	36	         190	51	          27	7	         371	     497.9		
Bellingham	00250000	ELA	         445	43	          48	5	         397	39	         489	48	          92	9	       1,026	     497.5	          41.9	         833
Bellingham	00250000	MATH	         435	42	          50	5	         385	37	         482	47	         113	11	       1,030	     496.2	          45.2	         833
Bellingham	00250000	SCI	         171	48	          12	3	         159	44	         154	43	          33	9	         358	     497.9		
Belmont	00260000	ELA	       1,731	80	         581	27	       1,150	53	         378	17	          62	3	       2,171	     517.5	          58.1	       1,705
Belmont	00260000	MATH	       1,743	80	         727	34	       1,016	47	         375	17	          52	2	       2,170	     519.5	          58.6	       1,700
Belmont	00260000	SCI	         585	84	         267	38	         318	46	          93	13	          19	3	         697	     521.8		
Benjamin Banneker Charter Public (District)	04200000	ELA	         133	73	          52	29	          81	45	          43	24	           5	3	         181	     514.8	          59.0	         128
Benjamin Banneker Charter Public (District)	04200000	MATH	         125	69	          25	14	         100	55	          52	29	           4	2	         181	     509.3	          54.8	         129
Benjamin Banneker Charter Public (District)	04200000	SCI	          27	68	           7	18	          20	50	          13	33	           0	0	          40	     509.6		
