District Name	District Code	Subject	M+E #	M+E %	E #	E %	M #	M %	PM #	PM %	NM #	NM %	No. of Students Included	Avg. Scaled Score	SGP	Included In SGP
Community Day Charter Public School - R. Kingman Webster (District)	04310000	MATH	         139	74	          37	20	         102	55	          45	24	           3	2	         187	     512.9	          55.9	         144
Community Day Charter Public School - R. Kingman Webster (District)	04310000	SCI	          18	50	           4	11	          14	39	          18	50	           0	0	          36	     502.9		
Concord	00670000	ELA	       1,088	76	         295	21	         793	55	         293	20	          55	4	       1,436	     513.8	          49.6	       1,111
Concord	00670000	MATH	       1,055	73	         280	19	         775	54	         325	23	          57	4	       1,437	     512.3	          47.8	       1,114
Concord	00670000	SCI	         357	71	          88	18	         269	54	         122	24	          22	4	         501	     511.1		
Conservatory Lab Charter (District)	04390000	ELA	         102	44	          13	6	          89	39	         103	45	          26	11	         231	     496.1	          47.4	         167
Conservatory Lab Charter (District)	04390000	MATH	          77	33	          11	5	          66	28	         121	52	          34	15	         232	     491.2	          51.4	         168
Conservatory Lab Charter (District)	04390000	SCI	          10	16	           0	0	          10	16	          33	52	          20	32	          63	     479.5		
Conway	00680000	ELA	          52	70	           5	7	          47	64	          21	28	           1	1	          74	     507.9	          44.9	          51
Conway	00680000	MATH	          48	65	           9	12	          39	53	          26	35	           0	0	          74	     509.7	          41.6	          51
Conway	00680000	SCI	           8	57	           3	21	           5	36	           6	43	           0	0	          14	     510.4		
Danvers	00710000	ELA	         847	51	         155	9	         692	42	         675	41	         137	8	       1,659	     501.6	          48.7	       1,338
Danvers	00710000	MATH	         769	46	          79	5	         690	42	         733	44	         155	9	       1,657	     497.8	          48.3	       1,337
Danvers	00710000	SCI	         250	45	          34	6	         216	39	         256	46	          49	9	         555	     497.7		
Dartmouth	00720000	ELA	       1,022	59	         205	12	         817	47	         594	35	         105	6	       1,721	     505.5	          56.4	       1,405
Dartmouth	00720000	MATH	         915	53	         112	7	         803	47	         684	40	         119	7	       1,718	     501.3	          53.0	       1,400
Dartmouth	00720000	SCI	         294	52	          36	6	         258	45	         237	42	          37	7	         568	     501.5		
Dedham	00730000	ELA	         648	51	         112	9	         536	42	         506	40	         108	9	       1,262	     501.4	          49.2	       1,013
Dedham	00730000	MATH	         670	53	         117	9	         553	44	         467	37	         125	10	       1,262	     501.1	          49.9	       1,014
Dedham	00730000	SCI	         197	47	          32	8	         165	39	         176	42	          45	11	         418	     497.6		
Deerfield	00740000	ELA	         129	62	          30	14	          99	47	          65	31	          15	7	         209	     506.8	          61.5	         166
Deerfield	00740000	MATH	         101	48	          14	7	          87	42	          89	43	          19	9	         209	     500.0	          59.7	         166
Deerfield	00740000	SCI	          44	75	           5	8	          39	66	          12	20	           3	5	          59	     507.9		
Dennis-Yarmouth	06450000	ELA	         617	43	          80	6	         537	37	         614	43	         204	14	       1,435	     495.7	          51.7	       1,087
Dennis-Yarmouth	06450000	MATH	         588	41	          60	4	         528	37	         641	44	         214	15	       1,443	     494.7	          48.4	       1,094
Dennis-Yarmouth	06450000	SCI	         181	37	          18	4	         163	33	         230	47	          79	16	         490	     492.8		
Dighton-Rehoboth	06500000	ELA	         736	52	          90	6	         646	46	         592	42	          78	6	       1,406	     502.2	          46.9	       1,137
Dighton-Rehoboth	06500000	MATH	         718	51	          85	6	         633	45	         601	43	          86	6	       1,405	     501.0	          51.1	       1,137
Dighton-Rehoboth	06500000	SCI	         247	50	          30	6	         217	44	         223	45	          22	4	         492	     501.3		
Douglas	00770000	ELA	         360	61	          60	10	         300	51	         195	33	          39	7	         594	     505.2	          49.9	         462
Douglas	00770000	MATH	         275	46	          21	4	         254	43	         261	44	          58	10	         594	     497.6	          47.0	         460
Douglas	00770000	SCI	          97	54	          12	7	          85	47	          68	38	          14	8	         179	     501.4		
Dover	00780000	ELA	         213	85	          46	18	         167	66	          36	14	           3	1	         252	     517.5	          62.6	         160
Dover	00780000	MATH	         217	86	          67	27	         150	60	          31	12	           4	2	         252	     518.9	          60.2	         161
Dover	00780000	SCI	          74	84	          20	23	          54	61	          14	16	           0	0	          88	     516.4		
Dover-Sherborn	06550000	ELA	         403	77	         109	21	         294	56	         106	20	          12	2	         521	     514.9	          45.6	         497
Dover-Sherborn	06550000	MATH	         401	77	         134	26	         267	51	         111	21	          11	2	         523	     515.4	          49.2	         498
Dover-Sherborn	06550000	SCI	         145	81	          38	21	         107	60	          27	15	           7	4	         179	     515.2		
Dracut	00790000	ELA	         992	54	         173	9	         819	45	         659	36	         171	9	       1,822	     502.1	          50.0	       1,437
Dracut	00790000	MATH	         836	46	         100	5	         736	40	         789	43	         194	11	       1,819	     497.5	          50.0	       1,436
Dracut	00790000	SCI	         268	45	          28	5	         240	40	         266	44	          68	11	         602	     497.2		
Dudley Street Neighborhood Charter School (District)	04070000	ELA	          33	31	           4	4	          29	28	          54	51	          18	17	         105	     490.9	          39.3	          63
Dudley Street Neighborhood Charter School (District)	04070000	MATH	          33	32	           2	2	          31	30	          50	48	          21	20	         104	     488.9	          49.1	          62
Dudley Street Neighborhood Charter School (District)	04070000	SCI	           3	11	           0	0	           3	11	          12	44	          12	44	          27	     472.5		
Dudley-Charlton Reg	06580000	ELA	       1,047	58	         121	7	         926	51	         656	36	         109	6	       1,812	     503.0	          52.1	       1,470
Dudley-Charlton Reg	06580000	MATH	         889	49	          86	5	         803	44	         792	44	         127	7	       1,808	     499.5	          45.6	       1,467
Dudley-Charlton Reg	06580000	SCI	         344	54	          49	8	         295	46	         258	40	          40	6	         642	     501.8		
Duxbury	00820000	ELA	         988	71	         204	15	         784	57	         352	25	          42	3	       1,382	     510.6	          52.7	       1,128
Duxbury	00820000	MATH	         892	65	         144	10	         748	54	         445	32	          45	3	       1,382	     507.0	          47.6	       1,124
Duxbury	00820000	SCI	         299	62	          48	10	         251	52	         169	35	          16	3	         484	     506.3		
East Bridgewater	00830000	ELA	         566	54	          85	8	         481	46	         392	38	          83	8	       1,041	     502.2	          46.5	         845
East Bridgewater	00830000	MATH	         503	48	          58	6	         445	43	         465	45	          73	7	       1,041	     499.4	          46.5	         845
East Bridgewater	00830000	SCI	         191	51	          19	5	         172	46	         156	41	          29	8	         376	     499.6		
East Longmeadow	00870000	ELA	         737	60	          99	8	         638	52	         420	34	          69	6	       1,226	     504.7	          50.0	         991
East Longmeadow	00870000	MATH	         652	53	          69	6	         583	48	         495	40	          77	6	       1,224	     501.5	          48.8	         990
East Longmeadow	00870000	SCI	         262	59	          48	11	         214	48	         156	35	          27	6	         445	     505.3		
Eastham	00850000	ELA	          50	69	           6	8	          44	61	          20	28	           2	3	          72	     508.5	          50.0	          45
Eastham	00850000	MATH	          41	57	           6	8	          35	49	          26	36	           5	7	          72	     503.1	          29.7	          45
Eastham	00850000	SCI	           8	35	           2	9	           6	26	          12	52	           3	13	          23	     495.6		
Easthampton	00860000	ELA	         298	43	          42	6	         256	37	         322	46	          73	11	         693	     497.1	          49.9	         522
Easthampton	00860000	MATH	         287	41	          35	5	         252	36	         327	47	          79	11	         693	     495.3	          49.7	         522
Easthampton	00860000	SCI	          95	44	           5	2	          90	42	         105	49	          14	7	         214	     497.1		
Easton	00880000	ELA	       1,131	66	         207	12	         924	54	         500	29	          81	5	       1,712	     507.8	          53.3	       1,399
Easton	00880000	MATH	       1,092	64	         204	12	         888	52	         535	31	          76	4	       1,703	     507.1	          51.6	       1,393
Easton	00880000	SCI	         365	65	          51	9	         314	56	         178	32	          22	4	         565	     506.3		
Edgartown	00890000	ELA	         137	59	          14	6	         123	53	          79	34	          18	8	         234	     502.2	          50.9	         177
Edgartown	00890000	MATH	         114	49	          18	8	          96	41	         101	43	          19	8	         234	     500.8	          60.6	         177
Edgartown	00890000	SCI	          50	71	          12	17	          38	54	          17	24	           3	4	          70	     510.4		
Erving	00910000	ELA	          32	46	           0	0	          32	46	          31	45	           6	9	          69	     495.8	          47.3	          46
Erving	00910000	MATH	          18	26	           0	0	          18	26	          38	55	          13	19	          69	     487.5	          47.3	          44
Erving	00910000	SCI	           4	22	           1	6	           3	17	          13	72	           1	6	          18	     489.2		
Everett	00930000	ELA	       1,111	38	         123	4	         988	34	       1,348	46	         483	16	       2,942	     493.8	          48.4	       2,174
Everett	00930000	MATH	       1,092	37	         113	4	         979	33	       1,360	46	         484	16	       2,936	     493.0	          49.4	       2,170
Everett	00930000	SCI	         268	28	          23	2	         245	26	         484	51	         194	21	         946	     488.5		
Excel Academy Charter (District)	04100000	ELA	         385	55	          61	9	         324	46	         249	36	          63	9	         697	     502.4	          54.9	         642
Excel Academy Charter (District)	04100000	MATH	         334	48	          49	7	         285	41	         311	45	          52	7	         697	     499.4	          54.7	         643
Excel Academy Charter (District)	04100000	SCI	         182	52	          20	6	         162	47	         140	40	          25	7	         347	     500.9		
Fairhaven	00940000	ELA	         513	54	          76	8	         437	46	         372	39	          73	8	         958	     501.3	          44.3	         764
Fairhaven	00940000	MATH	         520	54	          72	7	         448	47	         376	39	          65	7	         961	     501.1	          54.1	         766
Fairhaven	00940000	SCI	         159	48	          23	7	         136	41	         138	42	          34	10	         331	     497.7		
Fall River	00950000	ELA	       1,680	34	         215	4	       1,465	29	       2,241	45	       1,062	21	       4,983	     490.9	          46.8	       3,518
Fall River	00950000	MATH	       1,607	32	         190	4	       1,417	28	       2,283	46	       1,088	22	       4,978	     489.6	          46.8	       3,523
Fall River	00950000	SCI	         429	26	          39	2	         390	24	         794	48	         434	26	       1,657	     485.6		
Falmouth	00960000	ELA	       1,039	63	         237	14	         802	49	         509	31	          95	6	       1,643	     507.7	          55.1	       1,306
Falmouth	00960000	MATH	         924	56	         208	13	         716	43	         611	37	         111	7	       1,646	     504.4	          58.2	       1,307
Falmouth	00960000	SCI	         341	58	          80	14	         261	45	         206	35	          39	7	         586	     504.8		
Farmington River Reg	06620000	ELA	          20	41	           0	0	          20	41	          23	47	           6	12	          49	     493.2	          44.6	          33
Farmington River Reg	06620000	MATH	          11	22	           0	0	          11	22	          31	62	           8	16	          50	     487.7	          29.8	          34
Farmington River Reg	06620000	SCI	           5	42	           0	0	           5	42	           7	58	           0	0	          12	     504.3		
Fitchburg	00970000	ELA	         939	37	         150	6	         789	31	       1,100	43	         498	20	       2,537	     492.9	          49.4	       1,837
Fitchburg	00970000	MATH	         724	29	          89	4	         635	25	       1,233	49	         577	23	       2,534	     488.5	          46.5	       1,840
Fitchburg	00970000	SCI	         234	27	          22	3	         212	25	         404	47	         222	26	         860	     487.0		
Florida	00980000	ELA	          15	32	           0	0	          15	32	          23	49	           9	19	          47	     490.3	          34.3	          34
Florida	00980000	MATH	          17	36	           1	2	          16	34	          24	51	           6	13	          47	     491.7	          53.9	          33
Florida	00980000	SCI	           9	64	           0	0	           9	64	           4	29	           1	7	          14	     503.0		
Four Rivers Charter Public (District)	04130000	ELA	          48	63	          10	13	          38	50	          26	34	           2	3	          76	     508.2	          54.8	          60
Four Rivers Charter Public (District)	04130000	MATH	          44	59	           5	7	          39	52	          29	39	           2	3	          75	     504.1	          49.4	          60
Four Rivers Charter Public (District)	04130000	SCI	          26	68	           4	11	          22	58	          11	29	           1	3	          38	     507.4		
Foxborough	00990000	ELA	         651	56	         105	9	         546	47	         435	37	          86	7	       1,172	     503.2	          53.5	         958
Foxborough	00990000	MATH	         738	63	         132	11	         606	52	         357	31	          75	6	       1,170	     505.7	          54.8	         957
Foxborough	00990000	SCI	         230	55	          32	8	         198	47	         159	38	          29	7	         418	     502.5		
Foxborough Regional Charter (District)	04460000	ELA	         426	49	          36	4	         390	45	         379	44	          58	7	         863	     499.1	          49.1	         689
Foxborough Regional Charter (District)	04460000	MATH	         320	37	          40	5	         280	32	         461	53	          84	10	         865	     494.4	          45.2	         692
Foxborough Regional Charter (District)	04460000	SCI	         131	46	          20	7	         111	39	         130	46	          24	8	         285	     499.1		
Framingham	01000000	ELA	       1,620	40	         296	7	       1,324	33	       1,688	42	         752	19	       4,060	     494.5	          50.6	       2,984
Framingham	01000000	MATH	       1,509	37	         229	6	       1,280	31	       1,816	45	         745	18	       4,070	     492.8	          52.9	       3,001
Framingham	01000000	SCI	         464	34	          72	5	         392	29	         640	47	         253	19	       1,357	     492.0		
Francis W. Parker Charter Essential (District)	04780000	ELA	          87	61	          15	10	          72	50	          51	36	           5	3	         143	     505.4	          43.9	         129
Francis W. Parker Charter Essential (District)	04780000	MATH	          79	55	           9	6	          70	49	          59	41	           6	4	         144	     502.7	          36.9	         129
Francis W. Parker Charter Essential (District)	04780000	SCI	          55	75	           7	10	          48	66	          18	25	           0	0	          73	     511.7		
Franklin	01010000	ELA	       1,590	67	         324	14	       1,266	53	         672	28	         116	5	       2,378	     508.5	          48.9	       1,940
Franklin	01010000	MATH	       1,551	65	         356	15	       1,195	50	         695	29	         127	5	       2,373	     508.2	          51.3	       1,938
Franklin	01010000	SCI	         532	64	         114	14	         418	50	         258	31	          44	5	         834	     507.3		
Freetown-Lakeville	06650000	ELA	         750	53	          88	6	         662	47	         561	39	         110	8	       1,421	     501.4	          44.9	       1,114
Freetown-Lakeville	06650000	MATH	         724	51	          90	6	         634	45	         564	40	         132	9	       1,420	     500.3	          42.7	       1,111
Freetown-Lakeville	06650000	SCI	         279	59	          49	10	         230	49	         169	36	          24	5	         472	     505.4		
Frontier	06700000	ELA	         124	51	           7	3	         117	49	          94	39	          23	10	         241	     499.5	          46.9	         228
Frontier	06700000	MATH	         112	46	          17	7	          95	39	         112	46	          17	7	         241	     500.4	          48.1	         228
Frontier	06700000	SCI	          80	66	          13	11	          67	55	          38	31	           4	3	         122	     507.5		
Gardner	01030000	ELA	         287	26	          21	2	         266	24	         571	51	         257	23	       1,115	     486.7	          42.0	         857
Gardner	01030000	MATH	         295	27	          15	1	         280	25	         561	50	         256	23	       1,112	     486.0	          46.1	         855
Gardner	01030000	SCI	          94	28	          13	4	          81	24	         175	52	          65	19	         334	     488.5		
Gateway	06720000	ELA	         188	46	          19	5	         169	41	         194	47	          29	7	         411	     497.8	          42.9	         320
Gateway	06720000	MATH	         149	36	          12	3	         137	33	         225	55	          38	9	         412	     494.2	          41.1	         321
Gateway	06720000	SCI	          68	49	           9	7	          59	43	          63	46	           7	5	         138	     499.6		
Georgetown	01050000	ELA	         390	64	          55	9	         335	55	         187	31	          29	5	         606	     506.1	          49.6	         496
Georgetown	01050000	MATH	         323	53	          39	6	         284	47	         230	38	          52	9	         605	     500.3	          46.1	         494
Georgetown	01050000	SCI	         139	62	          12	5	         127	56	          77	34	          10	4	         226	     503.7		
Gill-Montague	06740000	ELA	         162	34	          12	3	         150	32	         230	48	          83	17	         475	     491.7	          42.3	         382
Gill-Montague	06740000	MATH	         117	25	           4	1	         113	24	         249	53	         108	23	         474	     485.8	          48.5	         386
Gill-Montague	06740000	SCI	          60	36	           8	5	          52	31	          79	47	          29	17	         168	     492.0		
Global Learning Charter Public (District)	04960000	ELA	         151	42	          12	3	         139	39	         188	52	          22	6	         361	     496.9	          55.2	         351
Global Learning Charter Public (District)	04960000	MATH	         131	36	          10	3	         121	34	         211	58	          19	5	         361	     495.4	          49.1	         351
Global Learning Charter Public (District)	04960000	SCI	          69	37	           4	2	          65	35	         100	54	          16	9	         185	     494.1		
Gloucester	01070000	ELA	         638	48	         105	8	         533	40	         538	41	         145	11	       1,321	     499.6	          47.8	       1,038
Gloucester	01070000	MATH	         571	43	          83	6	         488	37	         598	45	         153	12	       1,322	     497.1	          48.0	       1,035
Gloucester	01070000	SCI	         192	44	          36	8	         156	36	         192	44	          51	12	         435	     497.2		
Grafton	01100000	ELA	       1,036	67	         166	11	         870	56	         426	27	          90	6	       1,552	     507.6	          51.1	       1,252
Grafton	01100000	MATH	         950	61	         204	13	         746	48	         499	32	         103	7	       1,552	     506.1	          51.6	       1,251
Grafton	01100000	SCI	         349	69	          71	14	         278	55	         147	29	          12	2	         508	     509.6		
Granby	01110000	ELA	         147	46	           9	3	         138	44	         131	41	          39	12	         317	     496.0	          44.1	         243
Granby	01110000	MATH	         134	42	          12	4	         122	38	         148	47	          35	11	         317	     494.2	          43.3	         246
Granby	01110000	SCI	          54	51	           6	6	          48	45	          45	42	           7	7	         106	     500.7		
Greater Commonwealth Virtual District	39010000	ELA	          77	28	           3	1	          74	27	         141	52	          54	20	         272	     488.1	          39.5	         182
Greater Commonwealth Virtual District	39010000	MATH	          41	15	           2	1	          39	14	         152	57	          76	28	         269	     480.8	          32.9	         177
Greater Commonwealth Virtual District	39010000	SCI	          31	27	           3	3	          28	25	          64	57	          18	16	         113	     489.3		
Greenfield	01140000	ELA	         256	32	          20	3	         236	30	         411	51	         132	17	         799	     491.4	          40.5	         598
Greenfield	01140000	MATH	         223	28	          23	3	         200	25	         395	50	         177	22	         795	     487.3	          41.1	         600
Greenfield	01140000	SCI	          90	33	          11	4	          79	29	         124	46	          55	20	         269	     490.0		
Groton-Dunstable	06730000	ELA	         737	68	         145	13	         592	55	         296	27	          53	5	       1,086	     508.9	          53.2	         882
Groton-Dunstable	06730000	MATH	         738	68	         187	17	         551	51	         302	28	          48	4	       1,088	     510.6	          57.7	         883
Groton-Dunstable	06730000	SCI	         252	72	          69	20	         183	52	          83	24	          14	4	         349	     511.5		
Hadley	01170000	ELA	         139	55	          21	8	         118	46	          91	36	          24	9	         254	     501.0	          44.8	         202
Hadley	01170000	MATH	         125	49	           8	3	         117	46	         110	43	          20	8	         255	     498.4	          48.9	         202
Hadley	01170000	SCI	          51	52	          12	12	          39	40	          40	41	           7	7	          98	     503.2		
Halifax	01180000	ELA	         201	59	          31	9	         170	50	         118	35	          22	6	         341	     504.2	          52.6	         253
Halifax	01180000	MATH	         197	58	          30	9	         167	49	         126	37	          18	5	         341	     502.9	          49.4	         252
Halifax	01180000	SCI	          37	44	           3	4	          34	40	          34	40	          13	15	          84	     495.2		
Hamilton-Wenham	06750000	ELA	         583	74	         152	19	         431	55	         184	23	          21	3	         788	     513.9	          59.0	         621
Hamilton-Wenham	06750000	MATH	         538	68	          84	11	         454	57	         223	28	          29	4	         790	     508.7	          55.5	         621
Hamilton-Wenham	06750000	SCI	         179	68	          38	15	         141	54	          76	29	           7	3	         262	     509.7		
Hampden Charter School of Science East (District)	04990000	ELA	         138	56	          19	8	         119	48	          95	39	          13	5	         246	     502.4	          50.9	         222
Hampden Charter School of Science East (District)	04990000	MATH	         124	50	          19	8	         105	43	         112	46	          10	4	         246	     500.6	          48.7	         221
Hampden Charter School of Science East (District)	04990000	SCI	          36	45	           4	5	          32	40	          44	55	           0	0	          80	     499.7		
Hampden Charter School of Science West (District)	35160000	ELA	          99	58	          18	10	          81	47	          56	33	          17	10	         172	     502.7	          59.8	         129
Hampden Charter School of Science West (District)	35160000	MATH	          79	46	          15	9	          64	37	          74	43	          18	11	         171	     499.0	          54.7	         128
Hampden Charter School of Science West (District)	35160000	SCI	          13	28	           0	0	          13	28	          27	57	           7	15	          47	     490.2		
Hampden-Wilbraham	06800000	ELA	         766	59	         114	9	         652	51	         456	35	          69	5	       1,291	     504.8	          47.1	       1,047
Hampden-Wilbraham	06800000	MATH	         683	53	          86	7	         597	46	         535	42	          70	5	       1,288	     501.3	          48.7	       1,043
Hampden-Wilbraham	06800000	SCI	         268	59	          35	8	         233	51	         163	36	          23	5	         454	     504.2		
Hampshire	06830000	ELA	         116	43	          15	6	         101	38	         124	46	          28	10	         268	     496.8	          42.1	         256
Hampshire	06830000	MATH	         107	40	          14	5	          93	35	         136	51	          25	9	         268	     495.2	          39.5	         255
Hampshire	06830000	SCI	          63	49	          11	9	          52	40	          61	47	           5	4	         129	     500.2		
Hancock	01210000	ELA	          11	55	           1	5	          10	50	           9	45	           0	0	          20	     502.2		          11
Hancock	01210000	MATH	           9	45	           1	5	           8	40	           8	40	           3	15	          20	     494.0		          11
Hanover	01220000	ELA	         750	62	         146	12	         604	50	         394	33	          59	5	       1,203	     506.8	          50.4	         970
Hanover	01220000	MATH	         753	62	         129	11	         624	52	         400	33	          52	4	       1,205	     506.1	          54.5	         972
Hanover	01220000	SCI	         248	68	          47	13	         201	55	         104	29	          12	3	         364	     509.0		
Harvard	01250000	ELA	         354	76	          90	19	         264	57	          94	20	          16	3	         464	     514.0	          56.1	         366
Harvard	01250000	MATH	         338	72	          65	14	         273	58	         114	24	          18	4	         470	     510.2	          49.0	         370
Harvard	01250000	SCI	         135	82	          60	37	          75	46	          27	16	           2	1	         164	     520.3		
Hatfield	01270000	ELA	         120	59	          22	11	          98	48	          76	37	           7	3	         203	     505.4	          54.9	         166
Hatfield	01270000	MATH	         105	51	           8	4	          97	48	          88	43	          11	5	         204	     498.7	          51.0	         166
Hatfield	01270000	SCI	          45	65	           8	12	          37	54	          22	32	           2	3	          69	     506.5		
Haverhill	01280000	ELA	       1,573	39	         184	5	       1,389	34	       1,799	44	         686	17	       4,058	     493.5	          47.8	       3,036
Haverhill	01280000	MATH	       1,471	36	         191	5	       1,280	32	       1,847	46	         733	18	       4,051	     492.1	          49.6	       3,030
Haverhill	01280000	SCI	         413	32	          37	3	         376	29	         620	47	         277	21	       1,310	     489.1		
Hawlemont	06850000	ELA	          16	27	           0	0	          16	27	          37	62	           7	12	          60	     491.3	          40.3	          40
Hawlemont	06850000	MATH	          16	27	           1	2	          15	25	          40	67	           4	7	          60	     491.7	          38.5	          41
Helen Y. Davis Leadership Academy Charter Public (District)	04190000	ELA	          60	32	           5	3	          55	29	          97	52	          31	16	         188	     490.2	          51.7	         139
Helen Y. Davis Leadership Academy Charter Public (District)	04190000	MATH	          53	28	           2	1	          51	27	         106	57	          28	15	         187	     489.5	          56.0	         139
Helen Y. Davis Leadership Academy Charter Public (District)	04190000	SCI	           6	11	           0	0	           6	11	          37	67	          12	22	          55	     482.6		
Hill View Montessori Charter Public (District)	04550000	ELA	          95	48	           6	3	          89	45	          95	48	           9	5	         199	     499.4	          51.2	         160
Hill View Montessori Charter Public (District)	04550000	MATH	          39	20	           3	2	          36	18	         131	66	          29	15	         199	     486.5	          38.8	         159
Hill View Montessori Charter Public (District)	04550000	SCI	          28	46	           1	2	          27	44	          27	44	           6	10	          61	     497.0		
Hilltown Cooperative Charter Public (District)	04500000	ELA	          99	66	          10	7	          89	59	          45	30	           7	5	         151	     504.4	          52.3	         123
Hilltown Cooperative Charter Public (District)	04500000	MATH	          84	55	           7	5	          77	50	          62	40	           8	5	         154	     501.2	          48.7	         129
Hilltown Cooperative Charter Public (District)	04500000	SCI	          35	67	           5	10	          30	58	          15	29	           2	4	          52	     505.3		
Hingham	01310000	ELA	       1,664	83	         554	28	       1,110	55	         301	15	          41	2	       2,006	     519.2	          60.8	       1,623
Hingham	01310000	MATH	       1,488	74	         345	17	       1,143	57	         473	24	          48	2	       2,009	     512.1	          49.9	       1,622
Hingham	01310000	SCI	         556	78	         139	20	         417	59	         135	19	          21	3	         712	     514.7		
Holbrook	01330000	ELA	         284	46	          31	5	         253	41	         265	43	          70	11	         619	     498.8	          45.6	         467
Holbrook	01330000	MATH	         272	44	          17	3	         255	41	         269	43	          79	13	         620	     496.3	          41.0	         469
Holbrook	01330000	SCI	          95	45	          19	9	          76	36	          91	43	          25	12	         211	     499.0		
Holland	01350000	ELA	          57	50	          10	9	          47	41	          50	44	           7	6	         114	     501.5	          47.2	          83
Holland	01350000	MATH	          54	47	          13	11	          41	36	          53	46	           7	6	         114	     501.6	          58.7	          83
Holland	01350000	SCI	          14	58	           0	0	          14	58	          10	42	           0	0	          24	     504.1		
Holliston	01360000	ELA	         853	62	         129	9	         724	53	         438	32	          77	6	       1,368	     505.8	          45.6	       1,094
Holliston	01360000	MATH	         812	60	         166	12	         646	47	         465	34	          87	6	       1,364	     505.2	          50.9	       1,088
Holliston	01360000	SCI	         291	65	          43	10	         248	55	         140	31	          19	4	         450	     506.4		
Holyoke	01370000	ELA	         385	18	          33	2	         352	16	       1,074	49	         722	33	       2,181	     480.7	          45.2	       1,467
Holyoke	01370000	MATH	         252	12	          11	1	         241	11	       1,036	47	         902	41	       2,190	     475.8	          43.6	       1,463
Holyoke	01370000	SCI	          98	14	           4	1	          94	13	         337	47	         284	39	         719	     476.9		
Holyoke Community Charter (District)	04530000	ELA	         155	34	          10	2	         145	32	         248	55	          52	11	         455	     493.7	          46.6	         347
Holyoke Community Charter (District)	04530000	MATH	         115	25	           8	2	         107	24	         276	61	          62	14	         453	     489.8	          54.0	         344
Holyoke Community Charter (District)	04530000	SCI	          34	25	           3	2	          31	23	          72	53	          29	21	         135	     488.6		
Hoosac Valley Regional	06030000	ELA	         189	33	          16	3	         173	30	         302	52	          90	15	         581	     491.5	          39.2	         464
Hoosac Valley Regional	06030000	MATH	         146	25	          10	2	         136	23	         329	57	         107	18	         582	     487.5	          44.6	         464
Hoosac Valley Regional	06030000	SCI	          57	28	           7	3	          50	25	         115	57	          30	15	         202	     491.6		
Hopedale	01380000	ELA	         328	68	          74	15	         254	53	         130	27	          22	5	         480	     508.9	          53.0	         383
Hopedale	01380000	MATH	         306	64	          57	12	         249	52	         143	30	          32	7	         481	     505.9	          48.5	         386
Hopedale	01380000	SCI	         103	62	          17	10	          86	52	          56	34	           7	4	         166	     506.6		
Hopkinton	01390000	ELA	       1,349	80	         371	22	         978	58	         287	17	          49	3	       1,685	     516.4	          55.4	       1,349
Hopkinton	01390000	MATH	       1,326	79	         453	27	         873	52	         319	19	          38	2	       1,683	     516.7	          58.4	       1,348
Hopkinton	01390000	SCI	         423	71	         106	18	         317	53	         154	26	          16	3	         593	     511.3		
Hudson	01410000	ELA	         633	51	         134	11	         499	40	         470	38	         139	11	       1,242	     500.8	          46.5	         985
Hudson	01410000	MATH	         580	47	          90	7	         490	40	         507	41	         152	12	       1,239	     497.6	          40.4	         989
Hudson	01410000	SCI	         190	44	          30	7	         160	37	         188	44	          54	13	         432	     496.7		
Hull	01420000	ELA	         200	55	          40	11	         160	44	         136	37	          28	8	         364	     504.3	          47.9	         293
Hull	01420000	MATH	         197	54	          47	13	         150	41	         133	36	          37	10	         367	     502.6	          49.7	         294
Hull	01420000	SCI	          67	51	          11	8	          56	43	          50	38	          14	11	         131	     498.5		
Innovation Academy Charter (District)	04350000	ELA	         228	57	          39	10	         189	47	         150	38	          21	5	         399	     504.3	          48.2	         373
Innovation Academy Charter (District)	04350000	MATH	         231	58	          48	12	         183	46	         150	38	          18	5	         399	     503.7	          48.7	         373
Innovation Academy Charter (District)	04350000	SCI	          99	50	          18	9	          81	41	          91	46	           9	5	         199	     502.2		
Ipswich	01440000	ELA	         539	69	         157	20	         382	49	         216	28	          30	4	         785	     511.3	          55.9	         626
Ipswich	01440000	MATH	         502	64	          88	11	         414	53	         247	31	          36	5	         785	     506.8	          50.2	         627
Ipswich	01440000	SCI	         169	63	          42	16	         127	47	          84	31	          16	6	         269	     507.6		
KIPP Academy Boston Charter School (District)	04630000	ELA	         157	40	          20	5	         137	35	         188	48	          49	12	         394	     496.4	          56.9	         298
KIPP Academy Boston Charter School (District)	04630000	MATH	         181	46	          25	6	         156	40	         173	44	          39	10	         393	     498.4	          70.0	         296
KIPP Academy Boston Charter School (District)	04630000	SCI	          30	24	           3	2	          27	21	          70	56	          26	21	         126	     487.8		
KIPP Academy Lynn Charter (District)	04290000	ELA	         329	54	          51	8	         278	46	         213	35	          64	11	         606	     500.9	          53.8	         450
KIPP Academy Lynn Charter (District)	04290000	MATH	         317	52	          63	10	         254	42	         235	39	          57	9	         609	     501.1	          57.1	         454
KIPP Academy Lynn Charter (District)	04290000	SCI	          91	37	           9	4	          82	34	         108	44	          45	18	         244	     492.0		
King Philip	06900000	ELA	         423	58	          52	7	         371	50	         265	36	          47	6	         735	     503.7	          44.6	         706
King Philip	06900000	MATH	         408	55	          57	8	         351	47	         275	37	          58	8	         741	     502.2	          34.9	         708
